country_name,country_iso3,year,indicator_name,indicator_code,value
Sri Lanka,LKA,1991,Arable land (% of land area),AG.LND.ARBL.ZS,14.3996172859193
Sri Lanka,LKA,1990,Arable land (% of land area),AG.LND.ARBL.ZS,14.3517780258332
Sri Lanka,LKA,1989,Arable land (% of land area),AG.LND.ARBL.ZS,14.3677244458619
Sri Lanka,LKA,1988,Arable land (% of land area),AG.LND.ARBL.ZS,14.3198851857758
Sri Lanka,LKA,1987,Arable land (% of land area),AG.LND.ARBL.ZS,14.2720459256897
Sri Lanka,LKA,1986,Arable land (% of land area),AG.LND.ARBL.ZS,14.1444745654601
Sri Lanka,LKA,1985,Arable land (% of land area),AG.LND.ARBL.ZS,13.9690639451443
Sri Lanka,LKA,1984,Arable land (% of land area),AG.LND.ARBL.ZS,13.9052782650295
Sri Lanka,LKA,1983,Arable land (% of land area),AG.LND.ARBL.ZS,13.8574390049434
Sri Lanka,LKA,1982,Arable land (% of land area),AG.LND.ARBL.ZS,13.6660819645989
Sri Lanka,LKA,1981,Arable land (% of land area),AG.LND.ARBL.ZS,14.3517780258332
Sri Lanka,LKA,1980,Arable land (% of land area),AG.LND.ARBL.ZS,14.3517780258332
Sri Lanka,LKA,1979,Arable land (% of land area),AG.LND.ARBL.ZS,14.3517780258332
Sri Lanka,LKA,1978,Arable land (% of land area),AG.LND.ARBL.ZS,15.9464200287036
Sri Lanka,LKA,1977,Arable land (% of land area),AG.LND.ARBL.ZS,15.1490990272684
Sri Lanka,LKA,1976,Arable land (% of land area),AG.LND.ARBL.ZS,14.3517780258332
Sri Lanka,LKA,1975,Arable land (% of land area),AG.LND.ARBL.ZS,13.554457024398
Sri Lanka,LKA,1974,Arable land (% of land area),AG.LND.ARBL.ZS,13.2993143039388
Sri Lanka,LKA,1973,Arable land (% of land area),AG.LND.ARBL.ZS,13.2036357837665
Sri Lanka,LKA,1972,Arable land (% of land area),AG.LND.ARBL.ZS,13.1079572635943
Sri Lanka,LKA,1971,Arable land (% of land area),AG.LND.ARBL.ZS,13.0122787434221
Sri Lanka,LKA,1970,Arable land (% of land area),AG.LND.ARBL.ZS,12.9166002232499
Sri Lanka,LKA,1969,Arable land (% of land area),AG.LND.ARBL.ZS,12.8209217030777
Sri Lanka,LKA,1968,Arable land (% of land area),AG.LND.ARBL.ZS,12.7252431829054
Sri Lanka,LKA,1967,Arable land (% of land area),AG.LND.ARBL.ZS,12.6295646627332
Sri Lanka,LKA,1966,Arable land (% of land area),AG.LND.ARBL.ZS,12.6295646627332
Sri Lanka,LKA,1965,Arable land (% of land area),AG.LND.ARBL.ZS,12.6455110827619
Sri Lanka,LKA,1964,Arable land (% of land area),AG.LND.ARBL.ZS,12.5976718226758
